# tau_s	eta_s	t_dec	visbulknorm
2.414837	0.093375569	155	2.55794911
0.923382	0.148284360	155	0.45891507
2.183451	0.154710099	155	2.19808456
1.115432	0.033318235	155	2.41687358
0.507288	0.006795735	155	2.05130803
1.005905	0.142030845	155	2.47623039
1.961148	0.196406537	155	2.25598205
0.186860	0.161424982	155	0.12520195
2.255431	0.207118411	155	1.84909931
2.656156	0.180639557	155	0.87540144
0.198820	0.052402187	155	0.62160132
1.716835	0.134581399	155	0.82880761
2.543357	0.201355797	155	1.29901234
1.289892	0.102385114	155	1.72418993
2.372915	0.119692576	155	1.53567130
2.789032	0.001694214	155	1.02144801
1.443714	0.168848594	155	0.24790460
0.312754	0.081719996	155	2.69447612
2.825469	0.073336769	155	0.05674720
0.801144	0.063962707	155	2.14716390
2.087612	0.171313981	155	1.62128720
0.721529	0.025361076	155	1.89293064
1.189050	0.115596108	155	0.36435478
1.556009	0.043031359	155	1.35968808
1.411786	0.107157601	155	2.89472414
1.805864	0.068598675	155	2.92398690
2.592381	0.088596644	155	0.72732216
0.552676	0.027436935	155	1.19292177
0.428547	0.055975701	155	0.55722420
1.889716	0.013618997	155	2.77009187
0.669727	0.126510273	155	1.09797599
1.605660	0.185145841	155	1.44270985
2.014776	0.077453687	155	0.28486239
0.366186	0.021835813	155	0.93916596
0.488295	0.112721429	155	0.40513104
2.302334	0.099324291	155	2.38727884
1.055476	0.006538495	155	2.74678558
2.433917	0.061141150	155	2.51066722
2.739603	0.164762089	155	2.83715755
1.258340	0.203862003	155	1.26492634
0.795284	0.070475075	155	1.14879571
1.100315	0.193344619	155	0.50075569
2.698312	0.175870934	155	1.05944724
2.059008	0.200078060	155	2.63619697
2.898277	0.087713694	155	2.30897653
0.644016	0.145545510	155	2.09668639
2.493673	0.096572023	155	2.22433926
1.911250	0.039861319	155	2.96133407
1.339234	0.177230411	155	0.59750148
0.351873	0.133597951	155	1.92679630
0.940118	0.016744823	155	1.35302554
1.531112	0.030995621	155	1.81006148
2.117824	0.153037832	155	0.91674185
1.641990	0.039348220	155	0.20291144
0.587520	0.054126166	155	2.59936554
1.816734	0.129558022	155	1.66408317
1.721328	0.138381608	155	0.75847811
1.484350	0.110758006	155	1.99357643
2.238337	0.122895595	155	1.55040355
1.227828	0.159177276	155	1.74739481
0.134882	0.082712257	155	1.46309529
2.613668	0.187781535	155	0.01334955
0.861691	0.011798430	155	0.18258254
0.266726	0.047823799	155	0.67716728
2.551686	0.071515784	155	2.08440683
0.603902	0.010024810	155	0.15290592
