# tau_s	eta_s	t_dec	visbulknorm
1.670782	0.1689291	155	2.55794911
0.658724	0.2212232	155	0.45891507
1.513770	0.2273430	155	2.19808456
0.789043	0.1117317	155	2.41687358
0.376374	0.0864721	155	2.05130803
0.714721	0.2152675	155	2.47623039
1.362922	0.2670538	155	2.25598205
0.158941	0.2337381	155	0.12520195
1.562614	0.2772556	155	1.84909931
1.834534	0.2520377	155	0.87540144
0.167056	0.1299068	155	0.62160132
1.197138	0.2081728	155	0.82880761
1.757992	0.2717674	155	1.29901234
0.907426	0.1775096	155	1.72418993
1.642335	0.1939929	155	1.53567130
1.924700	0.0816135	155	1.02144801
1.011806	0.2408082	155	0.24790460
0.244369	0.1578286	155	2.69447612
1.949425	0.1498445	155	0.05674720
0.575776	0.1409169	155	2.14716390
1.448737	0.2431562	155	1.62128720
0.521752	0.1041534	155	1.89293064
0.838998	0.1900915	155	0.36435478
1.088006	0.1209822	155	1.35968808
0.990140	0.1820549	155	2.89472414
1.257551	0.1453321	155	2.92398690
1.791258	0.1643778	155	0.72732216
0.407173	0.1061304	155	1.19292177
0.322942	0.1333102	155	0.55722420
1.314450	0.0929705	155	2.77009187
0.486601	0.2004860	155	1.09797599
1.121698	0.2563294	155	1.44270985
1.399312	0.1537654	155	0.28486239
0.280626	0.1007960	155	0.93916596
0.363486	0.1873537	155	0.40513104
1.594441	0.1745946	155	2.38727884
0.748358	0.0862271	155	2.74678558
1.683730	0.1382297	155	2.51066722
1.891159	0.2369163	155	2.83715755
0.886017	0.2741543	155	1.26492634
0.571800	0.1471191	155	1.14879571
0.778785	0.2641377	155	0.50075569
1.863140	0.2474961	155	1.05944724
1.429327	0.2705505	155	2.63619697
1.998831	0.1635369	155	2.30897653
0.469154	0.2186148	155	2.09668639
1.724278	0.1719734	155	2.22433926
1.329062	0.1179632	155	2.96133407
0.940909	0.2487909	155	0.59750148
0.270914	0.2072361	155	1.92679630
0.670080	0.0959475	155	1.35302554
1.071111	0.1095196	155	1.81006148
1.469238	0.2257503	155	0.91674185
1.146350	0.1174745	155	0.20291144
0.430817	0.1315487	155	2.59936554
1.264926	0.2033886	155	1.66408317
1.200187	0.2117920	155	0.75847811
1.039380	0.1854838	155	1.99357643
1.551014	0.1970434	155	1.55040355
0.865312	0.2315974	155	1.74739481
0.123670	0.1587736	155	1.46309529
1.805703	0.2588396	155	0.01334955
0.616862	0.0912366	155	0.18258254
0.213135	0.1255465	155	0.67716728
1.763644	0.1481103	155	2.08440683
0.441934	0.0895474	155	0.15290592
1.415791	0.1610008	155	1.20274558
0.202847	0.1617468	155	1.22526483
1.355753	0.2421607	155	0.81533298
1.384888	0.2538555	155	1.98521397
0.226558	0.2678416	155	0.47261784
0.559935	0.1276825	155	2.01713572
1.621598	0.2757327	155	2.61925091
1.965604	0.2162206	155	2.82704086
0.851117	0.2136228	155	0.70709946
1.023858	0.1136918	155	0.02489564
0.415551	0.2348893	155	0.42443037
1.580357	0.2054006	155	2.39957148
0.967655	0.1889343	155	2.93365572
0.889318	0.2518147	155	2.32731217
1.298584	0.1145315	155	1.41075491
0.992183	0.2046300	155	1.64665242
1.107364	0.1377312	155	1.57456012
1.133342	0.2609666	155	0.57368704
0.256708	0.1726692	155	0.53368915
1.277537	0.1919525	155	1.85221376
1.502039	0.1799271	155	1.32485885
0.641803	0.1236777	155	0.86438248
1.735497	0.2649062	155	2.70405617
1.814893	0.0991601	155	2.86049904
1.481586	0.2724460	155	1.38606160
1.158029	0.1430034	155	1.03878497
0.756282	0.2792346	155	1.10519137
0.801884	0.2470687	155	2.44059910
1.657037	0.1245484	155	1.48174936
0.507405	0.2304025	155	0.63811830
1.877984	0.0878851	155	2.79214258
0.543540	0.2384654	155	0.70269289
1.931914	0.2625844	155	1.27328938
0.694697	0.2196050	155	0.97281889
1.975292	0.1755179	155	2.99253381
1.535743	0.1102726	155	2.48669928
0.179230	0.1669241	155	2.72153678
1.608576	0.0946720	155	0.89180718
0.394509	0.1529525	155	2.29521689
0.929114	0.2107647	155	0.10954013
1.337840	0.2574295	155	0.21316073
0.298617	0.1353588	155	1.95685772
0.632823	0.1510199	155	2.65925512
1.712689	0.1804788	155	0.31348164
1.907094	0.0980912	155	2.55447889
1.058985	0.1986100	155	1.90257072
1.226686	0.2224103	155	1.51906489
0.341860	0.1415860	155	0.25941672
1.453620	0.1318921	155	1.76719804
0.692065	0.2244199	155	0.37830807
0.730909	0.2286448	155	0.98890570
0.602863	0.1557189	155	0.79315668
0.815308	0.1955359	155	2.17312298
0.482347	0.1202531	155	2.23282528
1.179504	0.1845827	155	1.60535160
0.143696	0.0838604	155	1.12694798
0.108129	0.0809431	155	2.11766916
0.956659	0.1698203	155	1.71021583
1.233898	0.2442325	155	0.08495424
1.689779	0.1069496	155	1.79682699
1.850483	0.1995289	155	0.33544898
0.312017	0.1024576	155	2.35325835
0.938187	0.1681497	155	1.31469640
0.423030	0.1808699	155	0.27710235
0.146885	0.2557526	155	0.51025757
1.245032	0.1488651	155	0.07424204
1.055845	0.0847997	155	1.91763174
0.587635	0.2080666	155	0.60737345
1.644975	0.2280524	155	1.50830830
1.503213	0.2309022	155	0.76580332
0.951695	0.1458971	155	0.61087884
0.356948	0.2398905	155	1.34048529
0.724696	0.2708686	155	2.27259583
0.248899	0.1474622	155	0.24380145
1.614872	0.2504280	155	1.21592223
1.795021	0.1742647	155	2.68309277
1.912194	0.2371758	155	2.82414743
1.883467	0.1448081	155	1.01491923
0.739708	0.2697639	155	1.30112551
1.163237	0.2026123	155	1.67972397
0.160720	0.1602529	155	0.09700381
1.424636	0.1779456	155	1.78262341
1.901814	0.1196727	155	2.35597521
0.233800	0.2776650	155	0.35590207
0.860945	0.2549534	155	2.13676029
1.576065	0.1292139	155	0.96297249
1.030503	0.2498105	155	1.83541141
0.471450	0.0969903	155	1.46950598
1.978763	0.2345257	155	1.64010558
0.562542	0.2016452	155	1.00375019
1.585524	0.2295905	155	2.96869622
1.518560	0.2655427	155	2.40465406
1.266877	0.2458657	155	1.16150792
0.532149	0.1219492	155	1.82807772
1.674413	0.2329866	155	2.24272590
0.500644	0.1272146	155	0.68627330
1.727818	0.2100896	155	2.78593029
1.209622	0.1328617	155	2.57661100
0.550370	0.1340181	155	2.53795512
0.620267	0.1568316	155	2.66028558
1.318070	0.1654733	155	1.28796463
1.703499	0.2589729	155	2.01293735
0.834241	0.0924473	155	2.20760748
0.913985	0.0978425	155	2.70813335
1.369845	0.2134996	155	0.92636313
0.266937	0.1424498	155	0.66587300
0.652644	0.1238066	155	2.64643739
0.369972	0.1084209	155	2.85532890
1.309700	0.2687015	155	2.75546283
1.771231	0.1660196	155	0.90634933
0.922443	0.1189076	155	0.58278951
0.671992	0.1704216	155	1.87391357
1.283050	0.1909782	155	1.43784606
1.852610	0.1975642	155	2.87392476
1.214716	0.1268129	155	0.83957938
0.796479	0.2745637	155	0.51891504
0.454171	0.1356984	155	0.74950355
0.873858	0.1014850	155	0.31826245
0.304064	0.1734451	155	1.39943366
0.315851	0.2763002	155	2.94435949
0.978408	0.1029868	155	0.34094989
0.196256	0.2787239	155	0.15032482
1.989793	0.1869863	155	2.98271842
1.440870	0.1761904	155	1.77735642
1.111694	0.2355235	155	2.58290950
1.750667	0.1229409	155	2.61143660
1.020283	0.1850332	155	2.34067155
1.605565	0.1998205	155	2.37126825
1.101608	0.1121643	155	0.49158912
1.241576	0.2628548	155	2.18726577
0.402680	0.1961389	155	1.73478841
1.838707	0.2390454	155	1.56558338
1.048235	0.2667087	155	1.49314826
1.873727	0.1789092	155	1.24308864
1.527179	0.1831757	155	0.06478182
1.082651	0.1879391	155	1.96830859
1.130246	0.2170902	155	1.05127430
1.956041	0.0839078	155	1.52992354
1.342152	0.2600324	155	2.03019090
1.810316	0.1591101	155	0.45443019
0.761710	0.1713581	155	2.50373368
0.386352	0.0954030	155	0.72457319
0.827122	0.1559087	155	0.23025646
0.137031	0.1053720	155	1.14234183
0.509513	0.0875705	155	0.65033278
1.825899	0.2616101	155	1.60992038
0.718868	0.1166837	155	2.73574788
1.492909	0.2266504	155	0.54860451
0.680905	0.0904665	155	0.42104036
1.632389	0.2410295	155	1.93532204
1.147759	0.1075313	155	2.16503697
0.436724	0.2095810	155	1.66377723
1.396790	0.1904969	155	2.05048585
1.172358	0.1155452	155	1.69160889
0.998520	0.1930406	155	1.42258534
0.706995	0.1438752	155	0.96036271
1.461308	0.2230902	155	2.45046853
1.940484	0.2736324	155	0.13986047
0.183740	0.2440210	155	0.88296284
0.225043	0.1304597	155	0.19374680
1.288110	0.0889861	155	1.07272025
1.561267	0.1387420	155	1.88337560
0.348424	0.1510952	155	2.30163036
0.805888	0.1111544	155	0.38850924
0.332552	0.1129173	155	1.08211210
0.610903	0.1518928	155	1.12062486
1.541898	0.1549525	155	0.43426609
1.351232	0.2450726	155	0.80685548
1.783554	0.1043471	155	2.27592944
0.456778	0.2568743	155	1.97507182
1.188810	0.2123903	155	1.71253696
0.290733	0.1944016	155	0.29677576
0.593287	0.0999352	155	0.78071574
0.771212	0.2220674	155	2.12409354
0.638547	0.2058243	155	2.10509620
1.383454	0.2202767	155	0.84944147
0.116554	0.1367877	155	2.07349426
1.407896	0.2039516	155	0.01004885
0.103119	0.2148932	155	2.80512754
0.525522	0.2178689	155	1.23415080
1.746653	0.0807574	155	2.91595939
1.073581	0.2529705	155	2.88810752
1.944286	0.1626950	155	0.03885795
1.476236	0.1829349	155	2.46208369
1.662782	0.0936973	155	2.52029180
1.700573	0.2252142	155	2.43386083
0.901403	0.0827087	155	1.58985997
0.970082	0.2479751	155	1.38169391
0.205694	0.1399436	155	0.16759797
0.848102	0.1641536	155	1.18280635
1.896789	0.2693829	155	2.37464464
0.518023	0.2593034	155	0.65826096
0.187363	0.2792172	155	0.25608443
1.908471	0.1884511	155	1.62651290
0.261938	0.2508705	155	2.56329714
0.581788	0.1675111	155	1.73048658
0.933881	0.2740443	155	2.54863967
1.774926	0.2582065	155	2.91003423
0.427039	0.2546092	155	2.04021270
1.092260	0.1405106	155	1.54310848
1.394851	0.1302783	155	2.67488097
1.078962	0.1056761	155	1.79228318
1.208675	0.2454189	155	2.61417579
0.296521	0.1967432	155	0.30017849
1.038845	0.1945177	155	2.12790814
1.096782	0.1005549	155	0.75359969
1.424914	0.1613642	155	1.94239240
0.817459	0.1540063	155	2.07532101
1.529741	0.2483772	155	0.38324833
1.191451	0.0933506	155	2.48192805
0.411879	0.1784601	155	1.71860701
1.752741	0.1952127	155	0.30750566
0.175469	0.1598214	155	1.22425427
0.857676	0.1927023	155	1.10769164
0.948401	0.1693067	155	0.67110271
1.006945	0.1914208	155	0.85220309
1.662140	0.2700454	155	2.53070136
0.421565	0.2002369	155	1.13602173
1.537353	0.1738860	155	2.76072212
1.570263	0.2315073	155	0.49659487
0.512342	0.1823572	155	0.11954875
1.157602	0.1842855	155	1.19857589
1.875236	0.2560723	155	1.67039162
1.797984	0.2144817	155	1.43037052
1.824594	0.1361239	155	2.85307730
1.921591	0.0832609	155	1.65749323
0.911108	0.1397449	155	1.79978442
1.101994	0.0918510	155	0.50702088
1.379926	0.1862624	155	2.32576050
0.548172	0.0828725	155	0.65229912
0.131107	0.1285887	155	1.95797341
0.664411	0.0871707	155	1.28290844
1.116981	0.1413125	155	1.58474037
1.895430	0.1199936	155	1.55988733
0.106789	0.1575572	155	2.63673058
0.128406	0.1924708	155	0.05050308
0.479009	0.2248894	155	2.33438968
0.836034	0.2289229	155	0.18105488
1.479472	0.1345770	155	1.06937040
1.168406	0.1141207	155	2.83433489
0.566451	0.2645915	155	1.04312980
1.514764	0.0998215	155	1.59597312
0.287937	0.1135233	155	0.48273483
1.114128	0.1674491	155	0.04299504
1.814296	0.1347015	155	0.59979159
1.737111	0.2601641	155	2.17757084
0.843740	0.1649090	155	1.68183348
1.436873	0.2523850	155	0.73650113
0.675546	0.0884874	155	1.48720057
1.064204	0.1572265	155	1.30961381
0.810738	0.1584805	155	0.82097222
0.685095	0.2209553	155	2.58929486
1.916164	0.1814760	155	1.15671878
0.759963	0.2711722	155	1.90707279
0.982228	0.1493659	155	1.17605692
1.637620	0.2511236	155	2.00532346
1.153717	0.1862004	155	2.11113071
0.399275	0.2420923	155	0.91233093
0.653061	0.1630100	155	2.06702153
1.486393	0.2342673	155	0.92000297
0.361307	0.2042713	155	2.86846473
0.708879	0.1562651	155	2.57022926
0.350592	0.1907383	155	1.39413082
0.905134	0.1657321	155	2.42982651
0.199114	0.1114199	155	1.86476817
0.944437	0.1932966	155	1.51412718
1.555589	0.1036892	155	1.14329819
1.568708	0.2201233	155	1.69999199
0.466091	0.1441999	155	2.10140694
1.335112	0.1452135	155	0.41218607
1.768618	0.1064622	155	0.39505521
1.597288	0.2444730	155	1.27112935
1.140900	0.1073361	155	2.46904623
1.218402	0.2332101	155	1.33141749
1.693664	0.1182954	155	2.31849773
0.737592	0.2027581	155	0.57427651
0.192509	0.2396564	155	1.84386405
0.137657	0.2097843	155	0.64331059
0.800439	0.2531386	155	2.39359859
0.960847	0.2374301	155	1.94711763
1.847758	0.1894784	155	2.02580398
1.322200	0.1978484	155	2.36311357
1.237009	0.2475917	155	1.49867993
1.970130	0.1851027	155	1.64128192
1.284185	0.2129679	155	1.34647115
1.669484	0.0887852	155	2.51654883
0.309097	0.1091528	155	0.09277100
0.450806	0.1466888	155	1.58061576
0.703171	0.2636237	155	0.14591102
0.996988	0.2719615	155	0.06022523
1.741740	0.2088960	155	0.13151773
1.002325	0.2768023	155	1.35510947
0.973333	0.1019624	155	0.99802687
1.649786	0.1169101	155	2.88201329
1.859197	0.0940669	155	1.92837807
1.465075	0.1433823	155	0.46524760
0.282625	0.2254901	155	2.94964497
0.528760	0.1752113	155	0.33068250
0.627460	0.1233557	155	0.55181836
0.553940	0.2727079	155	0.95077576
